Rank,Username,Birthyear,Age,Uploads,Subs,Total Views,Channel Creation,Gender,Country,Category
1,ASMR KittyKlaw,,,184,887195,141334295,8/14/2015,F,RS,People
2,Gibi ASMR,1994,25,372,1685347,429129059,6/19/2016,F,US,Entertainment
3,Gentle Whispering ASMR,1986,33,393,1617151,578125378,2/24/2011,F,US,Entertainment
4,ASMR Darling,1997,22,153,2250614,417889554,12/11/2014,F,US,Entertainment
5,ASMR Glow,1994,25,157,723721,119915280,10/24/2016,F,Israel,People
6,FrivolousFox ASMR,1994,25,310,1053497,232196121,5/2/2016,F,US,People
7,WhispersRed ASMR,1978,41,392,684380,177072880,4/12/2013,F,GB,People
8,ASMR PPOMO,1992,27,334,1703334,351067922,10/22/2013,F,KR,Entertainment
9,Pelagea ASMR,1993,26,123,784179,161445940,8/22/2015,F,US,People
10,Goodnight Moon,,,87,430302,59183471,1/16/2014,F,GB,People
11,MassageASMR,,,691,753553,283711132,12/5/2012,M,AU,Entertainment
12,Jojo's Asmr,1998,21,377,534532,117567758,1/19/2015,M,US,People
13,Ephemeral Rift,1971,48,1231,595015,229702976,9/14/2011,M,US,Entertainment
14,Karuna Satori ASMR,1991,28,697,626732,146226984,10/6/2013,F,US,People
15,RaffyTaphyASMR,,,63,478576,84443753,9/15/2015,M,US,Entertainment
16,fastASMR,1990,29,589,410536,119438613,10/22/2011,F,US,Entertainment
17,ASMRrequests,,,201,500041,124203848,5/17/2012,F,US,People
18,Heather Feather ASMR,1984,35,319,507166,155106841,9/20/2012,F,US,People
19,SAS-ASMR,1982,37,557,5119349,1062093485,4/6/2016,F,CA,Entertainment
20,softlygaloshes,1991,28,454,331777,84358390,6/6/2012,F,US,Entertainment
21,Fairy Char ASMR,1998,21,253,412643,92724646,12/16/2009,F,US,Entertainment
22,PJ Dreams,1995,24,338,379590,57599987,6/1/2016,M,CA,Entertainment
23,Latte ASMR,1993,26,135,677225,138883059,1/4/2016,F,KR,People
24,Dr. T ASMR,,,308,315064,89237889,5/22/2016,M,US,Entertainment
25,ASMRSurge,,,142,651738,125914998,9/25/2012,M,PL,Entertainment
26,Gwen Gwiz,1995,24,236,368466,39537838,1/19/2011,F,CA,Entertainment
27,Rapunzel ASMR,1986,33,418,417877,79898568,5/23/2014,F,BE,Entertainment
28,ASMR Cherry Crush,1990,29,144,642849,110022217,3/4/2012,F,US,Entertainment
29,Dana ASMR,1994,25,248,Null,198678700,7/20/2008,F,KR,People
30,Olivia Kissper ASMR,1989,30,432,317551,97687202,8/21/2013,F,CR,Entertainment
31,Cosmic Tingles ASMR,1983,36,114,260046,56659776,7/3/2009,F,US,People
32,MissASMR,1996,23,233,233418,53824452,9/26/2013,F,US,Entertainment
33,Angelica,,,284,164223,28180506,8/2/2015,F,US,People
34,TheOneLilium ASMR,1987,32,445,219256,64828412,4/24/2012,F,DK,People
35,Springbok ASMR,,,135,158372,34688044,4/25/2014,F,US,Entertainment
36,Marno ASMR,1989,30,126,172940,18926397,1/14/2018,M,BE,People
37,TirarADeguello,,,602,129832,27883383,9/25/2010,M,US,People
38,ASMRTheChew,1971,48,1624,561606,113489035,11/1/2015,F,US,People
39,FredsVoice ASMR,1990,29,193,339108,53926121,5/23/2011,M,GB,Entertainment
40,LauraLemurex ASMR,1996,23,264,153231,33505260,11/14/2011,F,GB,People
41,SensorAdi ASMR,,,658,201662,50998182,10/13/2013,M,US,Entertainment
42,TingleBelleASMR,1987,32,98,161429,28310808,9/3/2015,F,US,Entertainment
43,Tony Bomboni ASMR,1994,25,866,276923,101701872,7/18/2012,M,US,Entertainment
44,Hermetic Kitten,1990,29,508,293771,71458273,10/2/2013,F,GB,Entertainment
45,Sleepy Tingles ASMR,1992,27,274,250523,40871954,11/29/2016,M,ES,Entertainment
46,Articulate Design ASMR,,,99,83757,12107764,7/24/2016,M,GB,People
47,ASMRSoundSpace,,,57,189710,31102900,2/12/2016,M,GB,Entertainment
48,Miniyu ASMR,1988,31,570,493734,159027656,8/27/2013,F,KR,People
49,Christen Noel ASMR,1990,29,117,97191,16533927,7/29/2013,F,US,People
50,suellASMR,1982,37,280,1618201,372189822,4/23/2017,F,US,Entertainment
